layer,cosine
0,-0.00490368390455842
1,-0.003583284327760339
2,-0.007401620037853718
3,0.00039505449240095913
4,-0.0047718193382024765
5,0.0026938877999782562
6,6.658770143985748e-05
7,-0.001976278843358159
8,0.0112220523878932
9,0.010898856446146965
10,0.008980603888630867
11,0.019562695175409317
12,0.034870728850364685
13,0.03046557307243347
14,0.029833447188138962
15,0.02253459393978119
16,0.038066644221544266
17,0.036628637462854385
18,0.03442428261041641
19,0.02748001180589199
20,0.01720658876001835
21,-0.0018261438235640526
22,-0.02230311930179596
23,-0.02765701711177826
24,-0.05531635507941246
25,-0.05636762082576752
26,-0.06817380338907242
27,-0.08408208936452866
28,-0.0972590371966362
29,-0.12967783212661743
30,-0.1581752449274063
31,-0.27793610095977783
