rank	id	score	status	pdf	G_waste	G_cov	G_meanΔh	G_impRate	S_waste	S_cov	S_meanΔh	S_impRate
0001	149	1.262130	OK	case_149_rank_0001_delta.pdf	0.9167	1.0000	0.7931	0.2424	0.8333	0.5000	0.2072	0.0606
0002	179	1.119386	OK	case_179_rank_0002_delta.pdf	0.9000	1.0000	0.5205	0.2151	0.0000	1.0000	0.2945	0.0215
0003	75	0.890064	OK	case_75_rank_0003_delta.pdf	0.9412	0.6667	0.5761	0.2615	0.0000	0.3333	0.2304	0.0077
0004	19	0.864328	OK	case_19_rank_0004_delta.pdf	0.9500	0.6667	0.5401	0.2899	0.0000	0.3333	0.2333	0.0072
0005	857	0.805806	OK	case_857_rank_0005_delta.pdf	0.9677	0.5000	0.6426	0.3131	0.7143	1.0000	0.1600	0.0707
0006	432	0.786808	OK	case_432_rank_0006_delta.pdf	0.9333	1.0000	0.2742	0.2400	0.5000	1.0000	-0.0030	0.0320
0007	677	0.785704	OK	case_677_rank_0007_delta.pdf	0.9444	0.5000	0.4699	0.1651	0.5000	0.5000	0.2581	0.0183
0008	873	0.757057	OK	case_873_rank_0008_delta.pdf	0.9524	0.5000	0.3327	0.1963	0.6667	0.5000	0.2766	0.0280
0009	367	0.713507	OK	case_367_rank_0009_delta.pdf	0.9545	0.5000	0.3170	0.2075	0.5000	0.5000	0.2074	0.0189
0010	859	0.666142	OK	case_859_rank_0010_delta.pdf	0.9500	0.5000	0.3878	0.2128	0.7500	0.5000	0.2384	0.0426
0011	979	0.666142	OK	case_979_rank_0011_delta.pdf	0.9500	0.5000	0.3878	0.2128	0.7500	0.5000	0.2384	0.0426
0012	853	0.648119	OK	case_853_rank_0012_delta.pdf	0.9500	0.3333	0.3995	0.1667	0.0000	0.3333	0.1458	0.0083
0013	73	0.647444	OK	case_73_rank_0013_delta.pdf	0.9500	0.3333	0.2416	0.1980	0.0000	0.3333	0.1395	0.0099
0014	747	0.621762	OK	case_747_rank_0014_delta.pdf	0.8800	1.0000	0.3854	0.2273	0.5000	0.3333	0.1869	0.0182
0015	839	0.616554	OK	case_839_rank_0015_delta.pdf	0.9167	0.5000	0.2959	0.1739	1.0000	0.0000	0.0954	0.0435
0016	506	0.615229	OK	case_506_rank_0016_delta.pdf	0.9667	0.2000	0.1888	0.2564	1.0000	0.0000	0.0416	0.0085
0017	693	0.613758	OK	case_693_rank_0017_delta.pdf	0.9444	0.5000	0.2465	0.1978	0.7500	0.5000	0.1857	0.0440
0018	720	0.611117	OK	case_720_rank_0018_delta.pdf	0.9130	1.0000	0.3113	0.2091	0.0000	0.5000	0.2624	0.0091
0019	893	0.594138	OK	case_893_rank_0019_delta.pdf	0.9375	1.0000	0.3251	0.3107	0.7500	0.5000	0.1950	0.0388
0020	469	0.562844	OK	case_469_rank_0020_delta.pdf	0.9444	0.5000	0.3085	0.2812	0.0000	0.5000	0.1852	0.0156
0021	84	0.551903	OK	case_84_rank_0021_delta.pdf	0.9091	1.0000	0.3102	0.2366	1.0000	0.0000	0.0726	0.0108
0022	619	0.511937	OK	case_619_rank_0022_delta.pdf	0.9000	0.5000	0.3202	0.1429	0.0000	0.5000	0.1436	0.0143
0023	502	0.509559	OK	case_502_rank_0023_delta.pdf	0.9565	0.5000	0.3131	0.1783	nan	0.0000	0.0949	0.0000
0024	869	0.499378	OK	case_869_rank_0024_delta.pdf	0.9375	0.5000	0.1732	0.1616	nan	0.0000	0.1020	0.0000
0025	574	0.492245	OK	case_574_rank_0025_delta.pdf	0.9524	0.5000	0.2727	0.1944	0.0000	0.5000	0.1726	0.0093
0026	338	0.481273	OK	case_338_rank_0026_delta.pdf	0.9167	0.5000	0.1418	0.1739	0.7500	0.5000	0.2465	0.0580
0027	128	0.470730	OK	case_128_rank_0027_delta.pdf	0.9474	0.5000	0.2038	0.1939	0.0000	0.5000	0.1184	0.0102
0028	22	0.466811	OK	case_22_rank_0028_delta.pdf	0.9412	0.5000	0.7417	0.2464	1.0000	0.0000	0.0592	0.0290
0029	422	0.450816	OK	case_422_rank_0029_delta.pdf	0.9259	0.5000	0.2691	0.2250	0.6667	0.2500	0.1285	0.0250
0030	216	0.446972	OK	case_216_rank_0030_delta.pdf	0.8824	0.5000	0.2832	0.1604	0.0000	0.2500	0.1374	0.0094
0031	485	0.438825	OK	case_485_rank_0031_delta.pdf	0.9565	0.3333	0.1978	0.2035	0.0000	0.3333	0.0833	0.0088
0032	24	0.431142	OK	case_24_rank_0032_delta.pdf	0.9444	0.1111	0.0900	0.1452	0.6667	0.1111	0.0092	0.0242
0033	730	0.405337	OK	case_730_rank_0033_delta.pdf	0.9524	0.5000	0.2564	0.2625	1.0000	0.0000	0.0986	0.0125
0034	841	0.397623	OK	case_841_rank_0034_delta.pdf	0.9565	0.5000	0.2455	0.2035	nan	0.0000	0.0893	0.0000
0035	876	0.370539	OK	case_876_rank_0035_delta.pdf	0.9565	0.5000	0.1698	0.1769	0.7500	0.5000	0.1327	0.0308
0036	685	0.370146	OK	case_685_rank_0036_delta.pdf	0.8667	0.5000	0.2120	0.2158	0.6667	0.2500	0.0848	0.0432
0037	384	0.368312	OK	case_384_rank_0037_delta.pdf	1.0000	0.0000	0.0236	0.2319	1.0000	0.0000	0.0113	0.0217
0038	567	0.365133	OK	case_567_rank_0038_delta.pdf	0.9167	1.0000	0.1507	0.2105	0.7500	0.5000	0.1003	0.0351
0039	413	0.363028	OK	case_413_rank_0039_delta.pdf	0.9545	0.5000	0.2199	0.1897	1.0000	0.0000	0.0845	0.0086
0040	584	0.355803	OK	case_584_rank_0040_delta.pdf	0.9500	0.5000	0.1712	0.1923	1.0000	0.0000	0.0519	0.0192
0041	503	0.347400	OK	case_503_rank_0041_delta.pdf	0.9286	0.5000	0.1547	0.1273	0.0000	0.5000	0.1036	0.0091
0042	385	0.347065	OK	case_385_rank_0042_delta.pdf	0.9333	0.5000	0.1551	0.2419	0.5000	0.2500	0.1827	0.0161
0043	932	0.345558	OK	case_932_rank_0043_delta.pdf	0.9394	0.2500	0.1272	0.2578	0.5000	0.1250	0.0539	0.0156
0044	187	0.338481	OK	case_187_rank_0044_delta.pdf	0.9600	0.3333	0.1403	0.2212	nan	0.0000	0.0138	0.0000
0045	211	0.337602	OK	case_211_rank_0045_delta.pdf	1.0000	0.0000	0.0732	0.2320	0.8000	0.3333	0.1077	0.0400
0046	972	0.335286	OK	case_972_rank_0046_delta.pdf	0.9231	0.5000	0.1590	0.1884	0.8000	0.2500	0.0811	0.0362
0047	559	0.319324	OK	case_559_rank_0047_delta.pdf	0.9667	0.2000	0.1361	0.2206	0.0000	0.2000	0.1154	0.0074
0048	808	0.318401	OK	case_808_rank_0048_delta.pdf	0.9474	0.5000	0.2281	0.1496	nan	0.0000	0.0376	0.0000
0049	770	0.317068	OK	case_770_rank_0049_delta.pdf	1.0000	0.0000	0.0761	0.1913	0.0000	0.5000	0.1098	0.0087
0050	907	0.311955	OK	case_907_rank_0050_delta.pdf	1.0000	0.0000	-0.0009	0.2645	1.0000	0.0000	-0.0006	0.0165
0051	443	0.303429	OK	case_443_rank_0051_delta.pdf	0.8929	0.4286	0.2065	0.2314	0.0000	0.2857	0.1147	0.0165
0052	380	0.294188	OK	case_380_rank_0052_delta.pdf	0.9375	0.2500	0.1126	0.1280	1.0000	0.0000	0.0348	0.0080
0053	317	0.293289	OK	case_317_rank_0053_delta.pdf	0.8889	0.3333	0.1058	0.1488	1.0000	0.0000	-0.0039	0.0083
0054	209	0.292389	OK	case_209_rank_0054_delta.pdf	0.9231	1.0000	0.2781	0.2080	0.5000	1.0000	0.0627	0.0320
0055	760	0.290701	OK	case_760_rank_0055_delta.pdf	0.9565	0.3333	0.1037	0.1811	1.0000	0.0000	0.0868	0.0079
0056	985	0.289954	OK	case_985_rank_0056_delta.pdf	0.9750	0.5000	0.0976	0.3200	nan	0.0000	0.0540	0.0000
0057	719	0.279739	OK	case_719_rank_0057_delta.pdf	0.9565	0.5000	0.1826	0.2323	nan	0.0000	0.0162	0.0000
0058	889	0.277762	OK	case_889_rank_0058_delta.pdf	0.8750	0.5000	0.2370	0.1231	1.0000	0.0000	0.0886	0.0154
0059	213	0.276380	OK	case_213_rank_0059_delta.pdf	0.9565	0.3333	0.1053	0.1917	nan	0.0000	-0.0092	0.0000
0060	964	0.276092	OK	case_964_rank_0060_delta.pdf	0.8889	0.5000	0.1299	0.1935	1.0000	0.0000	0.0680	0.0215
0061	232	0.269562	OK	case_232_rank_0061_delta.pdf	0.9697	0.3333	0.0929	0.2683	0.6667	0.3333	0.1226	0.0244
0062	580	0.268163	OK	case_580_rank_0062_delta.pdf	1.0000	0.0000	0.0393	0.1190	nan	0.0000	0.0064	0.0000
0063	254	0.266403	OK	case_254_rank_0063_delta.pdf	0.9706	0.3333	0.1375	0.2810	1.0000	0.0000	0.0378	0.0165
0064	463	0.265683	OK	case_463_rank_0064_delta.pdf	0.9412	0.3333	0.1483	0.1560	nan	0.0000	0.0382	0.0000
0065	858	0.263652	OK	case_858_rank_0065_delta.pdf	1.0000	0.0000	0.0329	0.2561	1.0000	0.0000	0.0239	0.0244
0066	348	0.249844	OK	case_348_rank_0066_delta.pdf	1.0000	0.0000	0.0570	0.2279	nan	0.0000	0.0995	0.0000
0067	778	0.247374	OK	case_778_rank_0067_delta.pdf	1.0000	0.0000	0.0975	0.1286	nan	0.0000	0.0413	0.0000
0068	963	0.245085	OK	case_963_rank_0068_delta.pdf	0.9524	0.5000	0.0984	0.2188	nan	0.0000	0.0868	0.0000
0069	39	0.241811	OK	case_39_rank_0069_delta.pdf	1.0000	0.0000	0.0626	0.1573	nan	0.0000	0.0790	0.0000
0070	173	0.241707	OK	case_173_rank_0070_delta.pdf	0.9444	0.5000	0.2529	0.2143	0.5000	0.5000	0.1296	0.0238
0071	363	0.240898	OK	case_363_rank_0071_delta.pdf	0.9655	0.5000	0.1160	0.2132	nan	0.0000	0.0349	0.0000
0072	587	0.238380	OK	case_587_rank_0072_delta.pdf	0.9412	0.5000	0.1312	0.1466	1.0000	0.0000	0.0755	0.0345
0073	218	0.235625	OK	case_218_rank_0073_delta.pdf	1.0000	0.0000	-0.0377	0.2586	1.0000	0.0000	-0.0746	0.0259
0074	78	0.234968	OK	case_78_rank_0074_delta.pdf	1.0000	0.0000	0.0866	0.1610	nan	0.0000	-0.0376	0.0000
0075	238	0.228361	OK	case_238_rank_0075_delta.pdf	1.0000	0.0000	0.0380	0.2583	1.0000	0.0000	0.0803	0.0167
0076	409	0.224275	OK	case_409_rank_0076_delta.pdf	0.9231	0.2500	0.1058	0.1226	0.7500	0.2500	0.0778	0.0377
0077	376	0.221695	OK	case_376_rank_0077_delta.pdf	0.9688	0.3333	0.0852	0.2092	0.6667	0.3333	0.0793	0.0196
0078	660	0.218701	OK	case_660_rank_0078_delta.pdf	0.9474	0.3333	0.1049	0.1743	1.0000	0.0000	0.0378	0.0183
0079	95	0.218106	OK	case_95_rank_0079_delta.pdf	1.0000	0.0000	0.0187	0.1955	0.6667	0.3333	-0.0579	0.0226
0080	908	0.217055	OK	case_908_rank_0080_delta.pdf	0.8519	0.8000	0.1757	0.2250	0.0000	0.4000	0.0777	0.0167
0081	516	0.215854	OK	case_516_rank_0081_delta.pdf	1.0000	0.0000	0.0161	0.1566	nan	0.0000	0.0113	0.0000
0082	991	0.213935	OK	case_991_rank_0082_delta.pdf	1.0000	0.0000	0.0962	0.2500	nan	0.0000	0.0571	0.0000
0083	610	0.208706	OK	case_610_rank_0083_delta.pdf	0.9333	0.2500	0.1113	0.1515	0.6667	0.2500	0.0857	0.0303
0084	365	0.208042	OK	case_365_rank_0084_delta.pdf	0.9231	0.5000	0.0723	0.1444	nan	0.0000	0.0659	0.0000
0085	392	0.206144	OK	case_392_rank_0085_delta.pdf	0.9500	0.5000	0.2111	0.1786	nan	0.0000	0.0264	0.0000
0086	289	0.200748	OK	case_289_rank_0086_delta.pdf	0.9600	0.3333	0.1362	0.2083	1.0000	0.0000	-0.0087	0.0167
0087	651	0.197179	OK	case_651_rank_0087_delta.pdf	0.9412	0.5000	0.0485	0.1735	nan	0.0000	0.0406	0.0000
0088	672	0.187679	OK	case_672_rank_0088_delta.pdf	0.9583	0.5000	0.1759	0.2000	nan	0.0000	0.0681	0.0000
0089	266	0.182821	OK	case_266_rank_0089_delta.pdf	1.0000	0.0000	0.0833	0.0789	nan	0.0000	0.0499	0.0000
0090	107	0.182808	OK	case_107_rank_0090_delta.pdf	1.0000	0.0000	0.0333	0.2645	1.0000	0.0000	0.0391	0.0413
0091	926	0.181696	OK	case_926_rank_0091_delta.pdf	0.9583	0.3333	0.2116	0.2124	nan	0.0000	-0.0348	0.0000
0092	981	0.181350	OK	case_981_rank_0092_delta.pdf	0.9600	0.5000	0.0881	0.2137	0.0000	0.5000	0.0742	0.0085
0093	775	0.180056	OK	case_775_rank_0093_delta.pdf	0.8889	0.5000	0.1394	0.1552	1.0000	0.0000	-0.0609	0.0172
0094	231	0.170511	OK	case_231_rank_0094_delta.pdf	0.9677	0.5000	0.1396	0.2500	1.0000	0.0000	0.0221	0.0161
0095	797	0.165341	OK	case_797_rank_0095_delta.pdf	0.9167	0.5000	0.1171	0.1905	1.0000	0.0000	0.0062	0.0079
0096	26	0.163501	OK	case_26_rank_0096_delta.pdf	1.0000	0.0000	-0.0047	0.1981	nan	0.0000	0.0048	0.0000
0097	163	0.160632	OK	case_163_rank_0097_delta.pdf	0.9048	0.2857	-0.0132	0.1858	0.0000	0.1429	0.0901	0.0088
0098	336	0.153917	OK	case_336_rank_0098_delta.pdf	1.0000	0.0000	0.0001	0.1636	1.0000	0.0000	0.0011	0.0091
0099	25	0.152391	OK	case_25_rank_0099_delta.pdf	0.9524	0.1429	0.0645	0.1736	0.5000	0.1429	0.0225	0.0165
0100	36	0.151356	OK	case_36_rank_0100_delta.pdf	1.0000	0.0000	-0.0166	0.2393	1.0000	0.0000	0.0660	0.0085
0101	782	0.150762	OK	case_782_rank_0101_delta.pdf	0.9091	0.2500	0.0399	0.1068	0.5000	0.2500	0.0300	0.0194
0102	185	0.146613	OK	case_185_rank_0102_delta.pdf	1.0000	0.0000	0.0423	0.1236	nan	0.0000	0.1234	0.0000
0103	252	0.145778	OK	case_252_rank_0103_delta.pdf	1.0000	0.0000	0.0236	0.2119	1.0000	0.0000	-0.0046	0.0085
0104	354	0.144263	OK	case_354_rank_0104_delta.pdf	1.0000	0.0000	0.0524	0.2463	1.0000	0.0000	0.0488	0.0075
0105	320	0.143636	OK	case_320_rank_0105_delta.pdf	1.0000	0.0000	0.0964	0.2314	1.0000	0.0000	0.0397	0.0083
0106	292	0.143020	OK	case_292_rank_0106_delta.pdf	1.0000	0.0000	-0.0086	0.2451	nan	0.0000	0.0154	0.0000
0107	346	0.141477	OK	case_346_rank_0107_delta.pdf	0.9231	0.2500	0.1172	0.1057	nan	0.0000	-0.0128	0.0000
0108	766	0.137608	OK	case_766_rank_0108_delta.pdf	0.9730	0.3333	0.0908	0.2782	1.0000	0.0000	0.0222	0.0075
0109	76	0.135912	OK	case_76_rank_0109_delta.pdf	0.9167	0.6667	0.0548	0.2162	1.0000	0.0000	-0.0002	0.0180
0110	465	0.135745	OK	case_465_rank_0110_delta.pdf	0.9643	0.5000	0.1585	0.2333	nan	0.0000	0.0542	0.0000
0111	825	0.131042	OK	case_825_rank_0111_delta.pdf	1.0000	0.0000	0.0518	0.1882	1.0000	0.0000	0.0367	0.0118
0112	6	0.126048	OK	case_6_rank_0112_delta.pdf	1.0000	0.0000	-0.0013	0.1318	1.0000	0.0000	0.0317	0.0078
0113	673	0.122284	OK	case_673_rank_0113_delta.pdf	1.0000	0.0000	0.0166	0.1912	1.0000	0.0000	-0.0049	0.0147
0114	296	0.118723	OK	case_296_rank_0114_delta.pdf	0.9600	0.5000	0.1279	0.2336	1.0000	0.0000	0.1126	0.0093
0115	779	0.109970	OK	case_779_rank_0115_delta.pdf	1.0000	0.0000	-0.0056	0.2474	nan	0.0000	-0.0083	0.0000
0116	227	0.103361	OK	case_227_rank_0116_delta.pdf	0.9355	0.5000	0.0184	0.2403	0.0000	0.5000	-0.0961	0.0155
0117	379	0.101880	OK	case_379_rank_0117_delta.pdf	1.0000	0.0000	-0.0425	0.2212	1.0000	0.0000	-0.0038	0.0177
0118	127	0.100012	OK	case_127_rank_0118_delta.pdf	0.9231	0.2857	0.0584	0.2000	1.0000	0.0000	-0.0099	0.0077
0119	202	0.099867	OK	case_202_rank_0119_delta.pdf	1.0000	0.0000	0.0185	0.2000	nan	0.0000	0.0418	0.0000
0120	462	0.097959	OK	case_462_rank_0120_delta.pdf	0.9286	0.3333	0.0755	0.1120	1.0000	0.0000	0.0270	0.0160
0121	256	0.094212	OK	case_256_rank_0121_delta.pdf	0.9474	0.2000	0.0599	0.2159	nan	0.0000	-0.0020	0.0000
0122	644	0.093544	OK	case_644_rank_0122_delta.pdf	0.9200	0.5000	-0.0015	0.2315	0.6667	0.2500	-0.0451	0.0278
0123	631	0.088661	OK	case_631_rank_0123_delta.pdf	1.0000	0.0000	0.0103	0.1635	1.0000	0.0000	0.0025	0.0096
0124	206	0.087936	OK	case_206_rank_0124_delta.pdf	0.9500	0.3333	0.0337	0.1887	1.0000	0.0000	-0.0021	0.0189
0125	962	0.083985	OK	case_962_rank_0125_delta.pdf	0.9474	0.3333	0.2234	0.1696	1.0000	0.0000	0.0711	0.0179
0126	655	0.082893	OK	case_655_rank_0126_delta.pdf	1.0000	0.0000	0.0623	0.1370	nan	0.0000	0.0010	0.0000
0127	526	0.082867	OK	case_526_rank_0127_delta.pdf	0.9200	0.5000	0.0553	0.1923	0.0000	0.2500	-0.0019	0.0077
0128	417	0.082728	OK	case_417_rank_0128_delta.pdf	1.0000	0.0000	0.0594	0.0973	nan	0.0000	0.0042	0.0000
0129	297	0.072234	OK	case_297_rank_0129_delta.pdf	1.0000	0.0000	-0.0232	0.1520	nan	0.0000	0.0040	0.0000
0130	548	0.065621	OK	case_548_rank_0130_delta.pdf	1.0000	0.0000	0.0133	0.1798	1.0000	0.0000	0.0302	0.0337
0131	915	0.057902	OK	case_915_rank_0131_delta.pdf	1.0000	0.0000	0.0613	0.2213	1.0000	0.0000	-0.0103	0.0164
0132	508	0.057407	OK	case_508_rank_0132_delta.pdf	0.9375	0.1667	0.0804	0.1928	nan	0.0000	0.0174	0.0000
