# rank	id	score	soft_hallu	soft_object	global_hallu	global_object	count_hallu	count_object
1	179	0.294548	0.294548	-0.016512	0.520483	0.143921	2	5
2	873	0.276580	0.276580	-0.026661	0.332658	0.060579	2	11
3	720	0.262397	0.262397	-0.007044	0.311301	0.015187	2	13
4	677	0.244979	0.258142	0.013163	0.469867	0.035429	2	16
5	859	0.238425	0.238425	-0.012057	0.387751	0.013954	2	27
6	979	0.238425	0.238425	-0.012057	0.387751	0.013954	2	27
7	338	0.235416	0.246487	0.011071	0.141806	0.052025	2	7
8	19	0.233330	0.233330	-0.052724	0.540060	0.019107	3	5
9	75	0.216817	0.230367	0.013550	0.576135	0.048556	3	13
10	893	0.194974	0.194974	-0.074829	0.325132	-0.000398	2	9
11	367	0.188050	0.207400	0.019350	0.316973	0.104242	2	10
12	385	0.182692	0.182692	-0.014174	0.155053	-0.002427	4	10
13	574	0.172621	0.172621	-0.025042	0.272659	0.010961	2	12
14	747	0.172197	0.186907	0.014710	0.385447	0.032059	3	18
15	857	0.154136	0.159984	0.005849	0.642564	0.004553	2	11
16	469	0.147280	0.185249	0.037970	0.308486	0.053540	4	4
17	149	0.144425	0.207237	0.062811	0.793127	0.162289	2	11
18	619	0.143619	0.143619	-0.003424	0.320244	0.022325	2	7
19	73	0.139497	0.139497	-0.003554	0.241620	0.131387	3	6
20	216	0.137395	0.137395	-0.004063	0.283248	0.011132	4	15
21	876	0.132671	0.132671	-0.017450	0.169846	0.025286	2	14
22	173	0.129620	0.129620	-0.076814	0.252878	-0.108802	2	6
23	422	0.128475	0.128475	-0.002641	0.269122	0.025289	4	20
24	185	0.123364	0.123364	-0.036714	0.042265	-0.027865	2	8
25	128	0.118446	0.118446	-0.000060	0.203824	0.074200	2	11
26	559	0.115385	0.115385	-0.011464	0.136146	0.028165	5	23
27	443	0.114668	0.114668	-0.029584	0.206472	-0.023647	7	18
28	296	0.112628	0.112628	-0.076147	0.127880	-0.098966	2	5
