pos,token_id_img,token_id_no,token_str,logp_img,logp_noimg,delta
1,450,450,The,-7.737576,-0.822513,-6.915063
2,1967,1967,image,-11.956247,-0.004888,-11.951359
3,1401,1401,dep,-12.429311,-1.077479,-11.351832
4,919,919,ict,-14.136515,-0.000132,-14.136382
5,29879,29879,s,-11.737132,-0.000019,-11.737113
6,263,263,a,-7.881742,-0.067171,-7.814571
7,2318,2318,group,-9.724627,-2.363384,-7.361243
8,310,310,of,-6.060440,-0.000095,-6.060345
9,3023,3023,four,-14.857779,-2.971457,-11.886321
10,2305,2305,people,-12.111787,-0.732936,-11.378851
11,22049,22049,walking,-12.502863,-3.710958,-8.791905
12,4208,4208,together,-14.110246,-0.841388,-13.268857
13,297,297,in,-3.905055,-1.481379,-2.423676
14,263,263,a,-9.018418,-0.153328,-8.865090
15,17455,17455,grass,-9.827512,-4.468215,-5.359297
16,29891,29891,y,-11.172903,-0.038447,-11.134456
17,1746,1746,field,-9.382103,-0.319472,-9.062631
18,29892,29892,,,-4.399048,-2.006135,-2.392913
19,11418,11418,enjo,-10.027018,-1.396656,-8.630362
20,5414,5414,ying,-14.135894,-0.000001,-14.135892
21,263,263,a,-3.551673,-0.731243,-2.820430
22,21246,21246,pleasant,-12.304517,-1.258660,-11.045857
23,2462,2462,day,-5.771477,-0.765113,-5.006364
24,714,714,out,-8.961922,-0.089094,-8.872828
25,1867,1867,do,-12.154402,-0.003062,-12.151339
26,943,943,ors,-12.691425,-0.000000,-12.691425
27,29889,29889,.,-5.284240,-0.000867,-5.283373
28,2688,2688,They,-10.874164,-0.222042,-10.652122
29,526,526,are,-6.701840,-0.499837,-6.202003
30,22049,22049,walking,-7.848704,-1.073095,-6.775610
31,297,297,in,-5.097281,-0.681738,-4.415543
32,263,263,a,-5.548750,-0.086110,-5.462640
33,1196,1196,line,-8.323336,-0.722119,-7.601217
34,29892,29892,,,-4.548327,-0.066987,-4.481340
35,411,411,with,-10.765751,-0.106237,-10.659514
36,697,697,one,-6.255529,-0.533475,-5.722054
37,2022,2022,person,-11.622830,-0.011561,-11.611270
38,8236,8236,leading,-12.741187,-0.554631,-12.186556
39,278,278,the,-4.397347,-0.014171,-4.383177
40,982,982,way,-7.158519,-0.012819,-7.145700
41,322,322,and,-1.481484,-0.204045,-1.277440
42,278,278,the,-5.411116,-0.008523,-5.402592
43,4045,4045,others,-9.402361,-0.129242,-9.273119
44,1494,1494,following,-8.875900,-0.011724,-8.864176
45,16467,16467,closely,-9.885992,-0.559306,-9.326686
46,5742,5742,behind,-9.159603,-0.001250,-9.158353
47,29889,29889,.,-5.592472,-0.019948,-5.572524
48,450,450,The,-8.335896,-0.775820,-7.560077
49,2318,2318,group,-9.124348,-0.901442,-8.222906
50,5692,5692,appears,-9.364058,-0.233818,-9.130239
51,304,304,to,-3.634696,-0.003791,-3.630905
52,367,367,be,-5.774424,-0.000523,-5.773901
53,263,263,a,-4.094861,-3.009711,-1.085150
54,3942,3942,family,-8.852085,-0.540868,-8.311217
55,29892,29892,,,-5.532863,-1.027974,-4.504889
56,408,408,as,-5.289553,-1.736277,-3.553276
57,896,896,they,-7.132601,-0.109267,-7.023334
58,526,526,are,-6.378473,-0.667711,-5.710762
