pos,token_id,token_str,logp_noimg,logp_img_naive,logp_img_fixed,delta_naive,delta_fixed
1,450,"The",-0.822518,-7.737576,-0.212284,-6.915058,0.610235
2,1967,"image",-0.004890,-11.956251,-0.073521,-11.951361,-0.068631
3,1401,"dep",-1.077483,-12.429316,-1.170078,-11.351832,-0.092595
4,919,"ict",-0.000133,-14.136515,-0.000013,-14.136382,0.000120
5,29879,"s",-0.000019,-11.737137,-0.000013,-11.737118,0.000006
6,263,"a",-0.067176,-7.881749,-0.095532,-7.814572,-0.028356
7,2318,"group",-2.363392,-9.724628,-0.396790,-7.361236,1.966602
8,310,"of",-0.000096,-6.060440,-0.001281,-6.060344,-0.001185
9,3023,"four",-2.971465,-14.857784,-0.796818,-11.886318,2.174647
10,2305,"people",-0.732943,-12.111790,-0.142755,-11.378847,0.590188
11,22049,"walking",-3.710960,-12.502863,-0.433199,-8.791904,3.277761
12,4208,"together",-0.841392,-14.110252,-1.001019,-13.268860,-0.159627
13,297,"in",-1.481380,-3.905059,-0.958968,-2.423679,0.522412
14,263,"a",-0.153332,-9.018428,-0.114323,-8.865096,0.039008
15,17455,"grass",-4.468220,-9.827512,-0.904142,-5.359291,3.564078
16,29891,"y",-0.038447,-11.172903,-0.099642,-11.134456,-0.061195
17,1746,"field",-0.319473,-9.382103,-0.272860,-9.062631,0.046612
18,29892,",",-2.006136,-4.399047,-1.270069,-2.392912,0.736067
19,11418,"enjo",-1.396659,-10.027018,-0.507590,-8.630358,0.889069
20,5414,"ying",-0.000001,-14.135894,-0.000033,-14.135893,-0.000032
21,263,"a",-0.731244,-3.551673,-0.953938,-2.820429,-0.222693
22,21246,"pleasant",-1.258662,-12.304517,-1.413476,-11.045855,-0.154814
23,2462,"day",-0.765115,-5.771477,-0.419592,-5.006362,0.345523
24,714,"out",-0.089095,-8.961924,-0.254069,-8.872829,-0.164974
25,1867,"do",-0.003062,-12.154402,-0.051904,-12.151340,-0.048842
26,943,"ors",-0.000000,-12.691425,-0.000000,-12.691425,-0.000000
27,29889,".",-0.000867,-5.284240,-0.019336,-5.283373,-0.018470
28,2688,"They",-0.222043,-10.874164,-0.621795,-10.652120,-0.399752
29,526,"are",-0.499838,-6.701840,-0.410411,-6.202002,0.089427
30,22049,"walking",-1.073098,-7.848705,-1.487204,-6.775606,-0.414106
31,297,"in",-0.681742,-5.097281,-1.282302,-4.415539,-0.600560
32,263,"a",-0.086113,-5.548750,-0.386000,-5.462637,-0.299887
33,1196,"line",-0.722124,-8.323335,-0.621701,-7.601211,0.100423
34,29892,",",-0.066987,-4.548327,-0.278483,-4.481340,-0.211496
35,411,"with",-0.106240,-10.765755,-0.579300,-10.659515,-0.473060
36,697,"one",-0.533477,-6.255529,-1.058825,-5.722052,-0.525349
37,2022,"person",-0.011561,-11.622830,-0.147606,-11.611269,-0.136044
38,8236,"leading",-0.554632,-12.741190,-1.040275,-12.186558,-0.485642
39,278,"the",-0.014171,-4.397347,-0.144476,-4.383176,-0.130305
40,982,"way",-0.012819,-7.158519,-0.237200,-7.145700,-0.224381
41,322,"and",-0.204045,-1.481488,-0.905762,-1.277443,-0.701717
42,278,"the",-0.008523,-5.411115,-0.098374,-5.402592,-0.089850
43,4045,"others",-0.129242,-9.402360,-0.319846,-9.273118,-0.190604
44,1494,"following",-0.011724,-8.875900,-0.078869,-8.864175,-0.067145
45,16467,"closely",-0.559306,-9.885992,-0.671320,-9.326686,-0.112014
46,5742,"behind",-0.001250,-9.159603,-0.094091,-9.158352,-0.092841
47,29889,".",-0.019948,-5.592472,-0.103495,-5.572524,-0.083547
48,450,"The",-0.775823,-8.335897,-0.826359,-7.560074,-0.050536
49,2318,"group",-0.901446,-9.124348,-0.940273,-8.222902,-0.038827
50,5692,"appears",-0.233819,-9.364058,-0.813816,-9.130239,-0.579997
51,304,"to",-0.003792,-3.634696,-0.030311,-3.630904,-0.026519
52,367,"be",-0.000523,-5.774424,-0.017261,-5.773901,-0.016738
53,263,"a",-3.009718,-4.094861,-1.735344,-1.085143,1.274373
54,3942,"family",-0.540872,-8.852085,-0.349510,-8.311213,0.191362
55,29892,",",-1.027975,-5.532863,-0.644616,-4.504888,0.383359
56,408,"as",-1.736281,-5.289552,-1.584698,-3.553271,0.151583
57,896,"they",-0.109269,-7.132601,-0.470478,-7.023332,-0.361209
58,526,"are",-0.667715,-6.378473,-0.990377,-5.710758,-0.322662
59,599,"all",-1.097637,-5.993871,-2.027322,-4.896235,-0.929685
60,1560,"sm",-2.405705,-7.256682,-2.014946,-4.850977,0.390759
61,6504,"iling",-0.003185,-18.174782,-0.004369,-18.171597,-0.001185
62,322,"and",-0.020530,-3.240021,-0.177517,-3.219491,-0.156987
63,11418,"enjo",-2.457118,-12.950651,-1.659723,-10.493534,0.797395
64,5414,"ying",-0.000002,-14.443976,-0.000054,-14.443974,-0.000052
65,1009,"their",-1.452468,-12.154634,-0.693485,-10.702166,0.758983
66,931,"time",-0.006625,-11.914038,-0.101385,-11.907412,-0.094759
67,4208,"together",-0.015929,-11.617792,-0.250070,-11.601863,-0.234141
68,29889,".",-0.051734,-5.399176,-0.191084,-5.347441,-0.139350
69,13,"\\n",-0.851309,-1.904142,-0.261470,-1.052833,0.589839
70,13,"\\n",-0.000577,-2.699949,-0.000052,-2.699372,0.000525
