bin,rel_center,count,mean_delta,mean_abs_delta,count_function,mean_delta_function,mean_abs_delta_function,count_hallu,mean_delta_hallu,mean_abs_delta_hallu,count_object,mean_delta_object,mean_abs_delta_object,count_other,mean_delta_other,mean_abs_delta_other
0,0.025,5246,0.9339199504384291,0.9892366492565782,2020,0.339700007425743,0.3860398995049507,7,4.119323428571429,4.119323428571429,1504,1.130391202127658,1.2446903736702153,1715,1.4485168588921287,1.462906868221576
1,0.075,4716,1.3966929855810009,1.4897462005937234,1428,0.35735665056022403,0.5178403704481795,16,1.8721846874999999,2.0947491875,1616,1.9148164176980227,1.9687503483910933,1656,1.7827297928743944,1.8545594704106274
2,0.125,4817,0.7244160311397131,0.8783358127465254,1657,0.21361313095956536,0.41432639227519624,29,1.3645891379310344,1.4598858965517238,1494,1.0720408995983959,1.173350002677376,1637,0.9128606444715962,1.0684686518020774
3,0.175,4672,0.458200350599315,0.6568220800513722,1632,0.13591810968137252,0.3488858437499998,13,1.9314029230769232,2.06211,1358,0.6358564131075115,0.7747353011782031,1669,0.6173112258837624,0.85104439304973
4,0.225,4752,0.28700715256733944,0.4926228242845118,1799,0.0936040327959978,0.30519647859922183,20,0.0599263,0.3765362,1301,0.45034330438124515,0.6048521129900077,1632,0.37277522610294134,0.6111837457107842
5,0.275,4830,0.15241792008281585,0.39252005507246474,2007,0.015220266068759345,0.2555763597409065,34,0.4130793823529412,0.7127984411764705,1256,0.2941404514331209,0.4720965995222932,1533,0.2101411441617744,0.49950530724070435
6,0.325,4807,0.09741602413147474,0.36065746161847334,1975,-0.01956459493670884,0.2557671640506331,33,0.23576375757575754,0.5105019393939394,1240,0.2397161330645163,0.4390350346774191,1559,0.12950012443874273,0.4280245426555479
7,0.375,4665,0.07730302700964631,0.3295504645230432,1905,-0.02137908293963256,0.2405182325459315,21,-0.11058347619047619,0.2486969047619047,1121,0.21022312845673502,0.40140466458519225,1618,0.10383677379480835,0.38564179233621765
8,0.425,4854,0.06530722517511331,0.3325212053976098,1979,-0.04128901313794841,0.22814638453764485,12,0.9083567499999999,1.1670690833333335,1165,0.21903733133047215,0.4355709296137342,1698,0.07811157597173123,0.37756847703180224
9,0.475,4530,0.048634027373068496,0.3148268543046353,1772,-0.038324862302483075,0.2445002505643345,25,0.3481924800000001,0.47977784,1107,0.16347753026196926,0.38015921589882556,1626,0.06060846371463708,0.34445295694956907
10,0.525,4985,0.11648721604814467,0.3721091069207619,1870,-0.039504987700534816,0.2501254957219249,41,0.5394415853658535,0.7711935853658536,1199,0.33359501501251,0.5422699608006671,1875,0.12398163786666666,0.37622858719999963
11,0.575,4702,0.07948237388345365,0.32742206805614604,1812,-0.03372298454746137,0.22712779690949292,58,0.2806092931034482,0.5444459137931035,1069,0.20523978578110383,0.41273508980355406,1763,0.11296398184912078,0.37163432898468457
12,0.625,4817,0.06231789370977761,0.3300037546190568,1844,-0.06295099403470722,0.22073366865509778,88,0.01249670454545453,0.4356482954545454,1123,0.26115703294746173,0.4829349830810332,1762,0.06917586208853588,0.3416130334846764
13,0.675,4753,7.903008626127784e-06,0.28534016347570035,1905,-0.0744908650918635,0.20113681154855598,54,0.37174816666666666,0.6012843518518518,1149,0.1418971000870321,0.4011274064403824,1645,-0.025028272340425543,0.2916057300911849
14,0.725,4690,-0.021069242217484043,0.26174784349680186,1932,-0.06698632039337464,0.1973770812629404,49,0.10876595918367347,0.43572587755102044,1218,0.06899452052545166,0.3361023776683082,1491,-0.03941115560026831,0.27869993360160944
15,0.775,4794,-0.01614901314142677,0.27860954922820164,2001,-0.06758419190404816,0.2061039530234885,37,0.11816532432432433,0.41319337837837844,1279,0.07723517279124326,0.3534303158717747,1477,-0.030696211238998,0.30867612728503696
16,0.825,4824,-0.03352990588723045,0.2798626065505812,1935,-0.0797969808785529,0.21031403204134372,40,0.255202575,0.670566975,1251,0.052398017585931184,0.3372121518784973,1598,-0.0520019593241553,0.309402053191489
17,0.875,4763,-0.05511012639092991,0.25666057778710855,1829,-0.08821491962821211,0.20252573100054697,48,-0.016119416666666678,0.3037584583333334,1269,0.021611605988967636,0.30885343892829015,1617,-0.07903267779839203,0.2755345392702533
18,0.925,4770,-0.0858057228511532,0.22853611069182334,1841,-0.10750151819663227,0.1957026588810432,32,-0.04510959375,0.33750984374999987,1136,-0.02938388908450704,0.2461624630281691,1761,-0.10026087336740486,0.2495103804656443
19,0.975,5288,-0.03543079633131603,0.19879126493948565,1534,-0.07879892633637546,0.16898093155149913,16,-0.10057925000000001,0.19344612499999997,1672,-0.026236535885167504,0.23190645693779835,2066,-0.010166380445304934,0.19416685672797687
